in,Zipcode,date,close
0,60601,2009-07-31 00:00:00,593967.75
1,60601,2009-08-31 00:00:00,583035.2
2,60601,2009-09-30 00:00:00,559849.75
3,60601,2009-10-31 00:00:00,553222.2
4,60601,2009-11-30 00:00:00,563997.75
5,60601,2009-12-31 00:00:00,580164.0
6,60601,2010-01-31 00:00:00,555700.6
7,60601,2010-02-28 00:00:00,549018.5
8,60601,2010-03-31 00:00:00,529278.5
9,60601,2010-04-30 00:00:00,526925.75
10,60601,2010-05-31 00:00:00,524764.8
11,60601,2010-06-30 00:00:00,538507.0
12,60601,2010-07-31 00:00:00,546186.8
13,60601,2010-08-31 00:00:00,566722.5
14,60601,2010-09-30 00:00:00,563759.75
15,60601,2010-10-31 00:00:00,544091.4
16,60601,2010-11-30 00:00:00,537088.75
17,60601,2010-12-31 00:00:00,510400.75
18,60601,2011-01-31 00:00:00,513626.8
19,60601,2011-02-28 00:00:00,534867.0
20,60601,2011-03-31 00:00:00,517816.75
21,60601,2011-04-30 00:00:00,508368.2
22,60601,2011-05-31 00:00:00,515769.5
23,60601,2011-06-30 00:00:00,544446.0
24,60601,2011-07-31 00:00:00,546104.0
25,60601,2011-08-31 00:00:00,557150.0
26,60601,2011-09-30 00:00:00,549188.75
27,60601,2011-10-31 00:00:00,514868.0
28,60601,2011-11-30 00:00:00,543903.25
29,60601,2011-12-31 00:00:00,530317.4
30,60601,2012-01-31 00:00:00,520657.75
31,60601,2012-02-29 00:00:00,533018.75
32,60601,2012-03-31 00:00:00,559837.4
33,60601,2012-04-30 00:00:00,579539.25
34,60601,2012-05-31 00:00:00,575294.0
35,60601,2012-06-30 00:00:00,578912.4
36,60601,2012-07-31 00:00:00,555899.75
37,60601,2012-08-31 00:00:00,555956.25
38,60601,2012-09-30 00:00:00,516101.8
39,60601,2012-10-31 00:00:00,552209.0
40,60601,2012-11-30 00:00:00,557003.75
41,60601,2012-12-31 00:00:00,554307.6
42,60601,2013-01-31 00:00:00,591716.5
43,60601,2013-02-28 00:00:00,593233.25
44,60601,2013-03-31 00:00:00,627189.0
45,60601,2013-04-30 00:00:00,619084.25
46,60601,2013-05-31 00:00:00,639467.5
47,60601,2013-06-30 00:00:00,651962.2
48,60601,2013-07-31 00:00:00,704099.5
49,60601,2013-08-31 00:00:00,653048.6
50,60601,2013-09-30 00:00:00,625597.0
51,60601,2013-10-31 00:00:00,590779.0
52,60601,2013-11-30 00:00:00,584075.2
53,60601,2013-12-31 00:00:00,557487.75
54,60601,2014-01-31 00:00:00,564660.25
55,60601,2014-02-28 00:00:00,551788.0
56,60601,2014-03-31 00:00:00,584040.0
57,60601,2014-04-30 00:00:00,588332.0
58,60601,2014-05-31 00:00:00,605334.4
59,60601,2014-06-30 00:00:00,645232.5
60,60601,2014-07-31 00:00:00,686288.75
61,60601,2014-08-31 00:00:00,678098.0
62,60601,2014-09-30 00:00:00,597216.25
63,60601,2014-10-31 00:00:00,649178.75
64,60601,2014-11-30 00:00:00,650076.8
65,60601,2014-12-31 00:00:00,635021.5
66,60602,2009-07-31 00:00:00,573570.0
67,60602,2009-08-31 00:00:00,578793.6
68,60602,2009-09-30 00:00:00,572837.25
69,60602,2009-10-31 00:00:00,560692.2
70,60602,2009-11-30 00:00:00,565814.75
